"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122"
"cross",0.0320106277655193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220899786646352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460842658348425,0,0,0,0,0
"data",0.00657393606825236,0.00922560775964827,0.0126189347517028,0.0115562876147173,0,0.00762393974582045,0,0.0145410241509688,0,0.0150390044301116,0.0127656665511412,0,0.00813220239554181,0.00778615122977407,0,0,0,0,0.00914872769498454,0.0096726636422744,0,0,0.0190929969286634,0.0093833104563944,0.0286394953929951,0,0,0,0,0,0.00515421278590678,0,0,0.00864446711337122,0,0.00596656154020731,0,0.00784176659570103,0.00681892747452264,0,0.00844497941075496,0.00757136085102169,0.00708288595740738,0.0175655571743703,0,0,0,0.0070374828422958,0,0.0106587118776519,0,0.00649613800827304,0,0,0,0.00946420106377711,0,0,0,0,0,0,0,0,0.00681892747452264,0.0068615457712384,0.0138968015620018,0.0885360744675923,0,0,0.00807240678969224,0.00453655918759564,0.00708288595740738,0,0,0.00778615122977407,0.00784176659570103,0,0,0,0.00831702517725867,0.008576932214048,0,0.00831702517725867,0.0233584536893222,0,0,0.0113180136432798,0,0,0.010455688794268,0,0,0,0.0243966071866254,0,0.00736810284159829,0.00546192698208032,0,0,0,0,0.0224050474162887,0.0203305059888545,0.00746834913876289,0,0.0104061357668071,0,0,0.0072705120754844,0,0,0.00532935593882594,0.00677683532961818,0.00540811489358692,0.006237768882944,0.0283926031913313,0,0,0.016508982306739,0,0
"decreases",0.0415014211830113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"depend",0.0187028887156005,0,0,0,0,0,0,0,0.0327055750314689,0,0,0,0,0.0221516483369169,0,0,0,0,0,0,0,0,0.0271598470913503,0,0.0543196941827006,0,0,0,0,0,0.02932753441789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184815527544691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395364862722188,0,0.0183728377382664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021247499425206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339498088641878,0,0,0.0163527875157345,0.0151620505607053,0,0.015386120273425,0,0,0,0,0,0,0
"determin",0.0235373493267239,0,0,0,0,0,0,0,0,0,0,0,0.0291165728708362,0.0278775697699495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195559071520542,0.0223337348725164,0,0.0387264762321467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193632381160733,0,0.0677713334062567,0,0,0,0,0
"diffus",0.0551953202715632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329200660191109,0,0,0,0,0.0297342531785518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371678164731897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229293992172912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"econom",0.0235373493267239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184541659040511,0,0,0,0.0600112570620288,0,0.0503940684302934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253595957262122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446674697450328,0,0,0,0,0,0.024878084414955,0,0,0,0,0,0,0,0,0,0,0,0.0267397097793394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"establish",0.0225198343480274,0,0,0,0,0,0,0,0,0.0257589886035656,0,0,0.0278578691564487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270562038569825,0,0.0264845939163421,0,0.0249060419610634,0,0,0,0,0,0,0.023359082833047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276530318832395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187105091349282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extent",0.0320106277655193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581062482265405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067668035909389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"finance",0.0415014211830113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"firm",0.0363565282985815,0,0,0,0,0,0.0105960562405988,0.134029585559892,0.0211921124811976,0,0,0.0213036499153091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160160533535957,0,0,0,0,0,0,0,0.0439966683033558,0,0.0289120963136338,0,0.0111200370437053,0,0.0139575637376163,0,0.0809538696781747,0,0,0,0,0,0,0.0110592718139583,0,0,0,0,0,0,0.0231296770509071,0,0,0.0658161542098981,0,0,0,0,0,0.0512366263785916,0,0,0,0,0,0.0391712272636329,0,0,0.0717676149629208,0.0433681444704507,0,0,0,0,0,0,0.0919930337251985,0,0,0,0.0104321997007957,0,0.0385494617515118,0.0192747308757559,0,0,0,0,0.0496649507228066,0.0950800482797354,0,0,0,0,0,0,0.112435930108576,0,0,0,0,0,0,0.0642491029191863,0.0635763374435927,0,0,0,0,0.0174469546720204,0,0,0.0608675711865975,0,0.127374969773352
"firms",0.0246909126676963,0,0,0,0,0,0,0.0273071683146045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224096870407896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025771140096908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624754911440194,0,0,0,0.0425090970670648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327252572659149,0,0,0,0,0,0,0,0,0,0,0
"focal",0.0740727380030889,0.0693005447984081,0,0,0,0,0,0,0.0431767792199506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028437120106933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312377455720097,0,0,0,0,0,0,0.0392703087190979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273071683146045,0,0,0,0,0,0,0,0,0,0,0,0
"futur",0.0193430995174958,0,0,0,0,0,0,0,0,0,0.0375616002258348,0,0,0,0,0,0.0146831709973718,0,0,0,0.0165656288175477,0,0,0,0,0,0,0,0.026696674540676,0,0.015165716523107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382283741943408,0.0371298576945034,0,0,0,0,0,0,0,0,0,0,0,0.0200639603690795,0,0,0,0,0,0,0.013348337270338,0,0,0,0,0,0,0,0,0,0,0,0.0244719516622863,0,0,0.0367079274934295,0,0,0,0,0,0,0,0.0239281305142355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gain",0.0260226038134235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575599316137977,0.0391511246562318,0,0,0,0,0,0,0,0,0,0,0,0.0222860248043166,0,0,0,0,0,0,0,0,0,0.0200266121513444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428155156339087,0,0,0,0,0,0,0
"generat",0.0207862617899736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152920956780863,0,0,0,0,0.0301852671210921,0,0,0,0,0,0,0,0,0,0,0,0,0.049590081698937,0,0,0,0,0,0,0,0,0,0.155763718156917,0,0,0,0,0,0,0.0159968005480442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246191894959262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377315839013651,0,0.0551000907765966,0,0,0,0.0171000281720472,0,0,0,0,0,0.0144637738288566,0
"help",0.0181068667182896,0.0508209536462919,0.0347568591029238,0,0,0.0209989357080164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262943194952554,0,0,0,0,0,0,0,0,0.0200254751122806,0,0,0,0,0,0,0,0.0166145425382108,0,0,0.0195086886577701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167991485664132,0.0428914431482889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287985403995654,0,0,0,0,0,0,0,0,0.0699155316058813,0,0,0,0,0,0,0,0,0.0328678993690692,0,0,0,0,0.0186657206293479,0,0.051542842192404,0,0,0,0,0,0
"high",0.0124117146253612,0.0870906026233325,0,0,0,0.0287882825338238,0.0217042548946106,0.0137268631949359,0.0325563823419159,0,0.0241018179352943,0,0,0,0.0169898060855354,0,0,0,0,0,0,0,0,0,0.0180239681950897,0,0,0,0.0685208708243079,0,0,0,0,0.0163209160821678,0.0158225674995062,0,0,0,0,0,0,0,0.0133726215640988,0,0,0,0,0,0,0,0,0.0122648304286113,0,0.0182621704179323,0.00955187254578486,0,0.015584634153649,0,0,0,0,0.033431553910247,0,0,0,0,0,0,0,0,0,0,0.0133726215640988,0,0,0,0,0,0,0.0139111163921833,0.0157026995639039,0,0,0,0.0220505993876097,0,0,0,0,0.019740536594622,0,0,0,0,0,0.101730372634862,0,0.0103122206091309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542606372365265,0,0.012794792237255,0,0.0117770246729279,0,0,0,0,0,0.0144947995974497
"identifi",0.0124117146253612,0,0,0,0,0,0,0,0,0,0.0120509089676472,0.0218184878151086,0.015353750684706,0.0147003995917398,0,0,0.00942161973834234,0.0149119161326282,0,0,0,0,0,0,0.0180239681950897,0,0,0,0,0.0145968756509529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021259039409593,0,0,0.0132868996309956,0,0,0,0,0,0,0,0,0.031169268307298,0,0.0232893971060148,0,0,0,0,0,0,0,0,0.033431553910247,0.0121926843672666,0,0,0,0.0133726215640988,0.0254325931587155,0.023030626027059,0,0,0,0,0,0,0,0,0.0314053991278078,0,0.0361527269029415,0.0235540493458558,0,0,0.00987026829731102,0,0,0,0,0,0.0127162965793578,0,0,0,0.0119812505343082,0.0102106223765286,0,0,0,0,0.0188432394766847,0,0.0110252996938049,0,0,0,0,0,0,0.0204212447530573,0,0,0,0,0,0.00863648476014714,0
